I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-273, -78, 195, 175, -234, 58, -156, -790, -546, -253, -175, 9
-244, -92, 151, 168, -197, 29, -107, -634, -429, -214, -165, -4
-214, -107, 107, 161, -161, 0, -58, -478, -312, -175, -156, -19
-165, -78, 87, 122, -126, 4, -34, -375, -195, -92, -102, 9
-117, -48, 68, 82, -92, 9, -9, -273, -78, -9, -48, 39
-97, -34, 63, 65, -80, 14, 14, -200, -34, 0, -43, 39
-78, -19, 58, 48, -68, 19, 39, -126, 9, 9, -39, 39
-78, -19, 58, 48, -68, 19, 48, -117, 24, 19, -29, 39
-78, -19, 58, 48, -68, 19, 58, -107, 39, 29, -19, 39
-73, -19, 53, 46, -63, 17, 58, -97, 39, 29, -19, 39
-68, -19, 48, 43, -58, 14, 58, -87, 39, 29, -19, 39
-63, -19, 43, 41, -53, 12, 53, -82, 48, 34, -19, 39
-58, -19, 39, 39, -48, 9, 48, -78, 58, 39, -19, 39
-53, -19, 34, 36, -43, 7, 48, -78, 63, 43, -19, 39
-48, -19, 29, 34, -39, 4, 48, -78, 68, 48, -19, 39
-48, -19, 29, 34, -39, 4, 48, -68, 73, 48, -14, 43
-48, -19, 29, 34, -39, 4, 48, -58, 78, 48, -9, 48
-43, -14, 29, 29, -36, 7, 48, -58, 82, 48, -9, 48
-39, -9, 29, 24, -34, 9, 48, -58, 87, 48, -9, 48
-39, -9, 29, 24, -34, 9, 48, -58, 87, 53, -4, 53
-39, -9, 29, 24, -34, 9, 48, -58, 87, 58, 0, 58
-34, -4, 29, 19, -31, 12, 43, -53, 87, 58, 0, 58
-29, 0, 29, 14, -29, 14, 39, -48, 87, 58, 0, 58
-29, 0, 29, 14, -29, 14, 39, -43, 92, 68, 4, 63
-29, 0, 29, 14, -29, 14, 39, -39, 97, 78, 9, 68
-29, 0, 29, 14, -29, 14, 39, -39, 102, 82, 9, 68
-29, 0, 29, 14, -29, 14, 39, -39, 107, 87, 9, 68
-24, 4, 29, 9, -26, 17, 34, -34, 112, 87, 14, 73
-19, 9, 29, 4, -24, 19, 29, -29, 117, 87, 19, 78
-14, 14, 29, 0, -21, 21, 29, -24, 126, 92, 24, 78
-9, 19, 29, -4, -19, 24, 29, -19, 136, 97, 29, 78
0, 24, 24, -12, -12, 24, 29, -9, 141, 102, 29, 78
9, 29, 19, -19, -4, 24, 29, 0, 146, 107, 29, 78
14, 34, 19, -24, -2, 26, 24, 4, 151, 107, 34, 82
19, 39, 19, -29, 0, 29, 19, 9, 156, 107, 39, 87
34, 43, 9, -39, 12, 26, 19, 19, 175, 117, 43, 87
48, 48, 0, -48, 24, 24, 19, 29, 195, 126, 48, 87
53, 53, 0, -53, 26, 26, 24, 39, 204, 136, 58, 97
58, 58, 0, -58, 29, 29, 29, 48, 214, 146, 68, 107
68, 58, -9, -63, 39, 24, 29, 63, 229, 156, 78, 112
78, 58, -19, -68, 48, 19, 29, 78, 244, 165, 87, 117
92, 68, -24, -80, 58, 21, 29, 92, 253, 170, 92, 122
107, 78, -29, -92, 68, 24, 29, 107, 263, 175, 97, 126
117, 82, -34, -100, 75, 24, 29, 122, 278, 180, 102, 126
126, 87, -39, -107, 82, 24, 29, 136, 292, 185, 107, 126
136, 87, -48, -112, 92, 19, 29, 146, 302, 190, 107, 131
146, 87, -58, -117, 102, 14, 29, 156, 312, 195, 107, 136
151, 87, -63, -119, 107, 12, 29, 161, 317, 195, 112, 136
156, 87, -68, -122, 112, 9, 29, 165, 322, 195, 117, 136
156, 87, -68, -122, 112, 9, 29, 175, 322, 195, 117, 136
156, 87, -68, -122, 112, 9, 29, 185, 322, 195, 117, 136
156, 87, -68, -122, 112, 9, 34, 185, 322, 195, 112, 136
156, 87, -68, -122, 112, 9, 39, 185, 322, 195, 107, 136
151, 87, -63, -119, 107, 12, 43, 185, 322, 190, 107, 136
146, 87, -58, -117, 102, 14, 48, 185, 322, 185, 107, 136
141, 87, -53, -114, 97, 17, 48, 180, 317, 185, 102, 131
136, 87, -48, -112, 92, 19, 48, 175, 312, 185, 97, 126
122, 82, -39, -102, 80, 21, 48, 161, 292, 175, 92, 122
107, 78, -29, -92, 68, 24, 48, 146, 273, 165, 87, 117
87, 73, -14, -80, 51, 29, 48, 131, 258, 161, 78, 112
68, 68, 0, -68, 34, 34, 48, 117, 244, 156, 68, 107
58, 63, 4, -61, 26, 34, 48, 97, 229, 146, 63, 102
48, 58, 9, -53, 19, 34, 48, 78, 214, 136, 58, 97
34, 48, 14, -41, 9, 31, 43, 63, 195, 131, 48, 87
19, 39, 19, -29, 0, 29, 39, 48, 175, 126, 39, 78
0, 29, 29, -14, -14, 29, 39, 24, 161, 112, 29, 73
-19, 19, 39, 0, -29, 29, 39, 0, 146, 97, 19, 68
-19, 19, 39, 0, -29, 29, 34, -14, 131, 87, 9, 58
-19, 19, 39, 0, -29, 29, 29, -29, 117, 78, 0, 48
-29, 14, 43, 7, -36, 29, 24, -39, 107, 73, -4, 43
-39, 9, 48, 14, -43, 29, 19, -48, 97, 68, -9, 39
-43, 4, 48, 19, -46, 26, 19, -53, 87, 63, -9, 39
-48, 0, 48, 24, -48, 24, 19, -58, 78, 58, -9, 39
-48, -4, 43, 26, -46, 19, 24, -63, 73, 53, -14, 39
-48, -9, 39, 29, -43, 14, 29, -68, 68, 48, -19, 39
-48, -9, 39, 29, -43, 14, 29, -68, 68, 48, -19, 39
-48, -9, 39, 29, -43, 14, 29, -68, 68, 48, -19, 39
-48, -9, 39, 29, -43, 14, 24, -73, 63, 43, -24, 39
-48, -9, 39, 29, -43, 14, 19, -78, 58, 39, -29, 39
-53, -9, 43, 31, -48, 17, 19, -78, 58, 39, -29, 39
-58, -9, 48, 34, -53, 19, 19, -78, 58, 39, -29, 39
-58, -9, 48, 34, -53, 19, 19, -78, 58, 43, -24, 39
-58, -9, 48, 34, -53, 19, 19, -78, 58, 48, -19, 39
-58, -4, 53, 31, -56, 24, 19, -78, 58, 48, -19, 39
-58, 0, 58, 29, -58, 29, 19, -78, 58, 48, -19, 39
-58, 4, 63, 26, -61, 34, 19, -78, 58, 48, -19, 39
-58, 9, 68, 24, -63, 39, 19, -78, 58, 48, -19, 39
-58, 9, 68, 24, -63, 39, 14, -78, 58, 53, -19, 39
-58, 9, 68, 24, -63, 39, 9, -78, 58, 58, -19, 39
-58, 14, 73, 21, -65, 43, 9, -78, 58, 58, -14, 43
-58, 19, 78, 19, -68, 48, 9, -78, 58, 58, -9, 48
-58, 19, 78, 19, -68, 48, 9, -78, 58, 63, -9, 48
-58, 19, 78, 19, -68, 48, 9, -78, 58, 68, -9, 48
-58, 19, 78, 19, -68, 48, 9, -78, 58, 68, -4, 48
-58, 19, 78, 19, -68, 48, 9, -78, 58, 68, 0, 48
-53, 24, 78, 14, -65, 51, 4, -78, 63, 68, 0, 48
-48, 29, 78, 9, -63, 53, 0, -78, 68, 68, 0, 48
-48, 29, 78, 9, -63, 53, 0, -78, 68, 68, 0, 48
-48, 29, 78, 9, -63, 53, 0, -78, 68, 68, 0, 48
-48, 29, 78, 9, -63, 53, 0, -78, 63, 68, 0, 53
-48, 29, 78, 9, -63, 53, 0, -78, 58, 68, 0, 58
-48, 29, 78, 9, -63, 53, 0, -82, 58, 68, 4, 58
-48, 29, 78, 9, -63, 53, 0, -87, 58, 68, 9, 58
-48, 29, 78, 9, -63, 53, 0, -87, 58, 68, 9, 58
-48, 29, 78, 9, -63, 53, 0, -87, 58, 68, 9, 58
-48, 29, 78, 9, -63, 53, 0, -87, 53, 68, 4, 53
-48, 29, 78, 9, -63, 53, 0, -87, 48, 68, 0, 48
-48, 24, 73, 12, -61, 48, 0, -87, 48, 63, 0, 48
-48, 19, 68, 14, -58, 43, 0, -87, 48, 58, 0, 48
-48, 19, 68, 14, -58, 43, -4, -92, 43, 53, -4, 48
-48, 19, 68, 14, -58, 43, -9, -97, 39, 48, -9, 48
-53, 14, 68, 19, -61, 41, -9, -97, 39, 48, -9, 48
-58, 9, 68, 24, -63, 39, -9, -97, 39, 48, -9, 48
-58, 9, 68, 24, -63, 39, -9, -97, 34, 43, -14, 43
-58, 9, 68, 24, -63, 39, -9, -97, 29, 39, -19, 39
