I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
0, -9, -9, 4, 4, -9, 48, 78, 19, -58, -107, -97
0, -4, -4, 2, 2, -4, 53, 87, 29, -53, -107, -97
0, 0, 0, 0, 0, 0, 58, 97, 39, -48, -107, -97
4, 0, -4, -2, 4, -2, 58, 102, 43, -48, -107, -97
9, 0, -9, -4, 9, -4, 58, 107, 48, -48, -107, -97
9, 4, -4, -7, 7, 0, 58, 107, 48, -48, -107, -97
9, 9, 0, -9, 4, 4, 58, 107, 48, -48, -107, -97
9, 9, 0, -9, 4, 4, 58, 107, 48, -48, -107, -97
9, 9, 0, -9, 4, 4, 58, 107, 48, -48, -107, -97
9, 9, 0, -9, 4, 4, 58, 107, 53, -48, -107, -97
9, 9, 0, -9, 4, 4, 58, 107, 58, -48, -107, -97
9, 14, 4, -12, 2, 9, 53, 112, 63, -48, -102, -97
9, 19, 9, -14, 0, 14, 48, 117, 68, -48, -97, -97
4, 19, 14, -12, -4, 17, 48, 117, 68, -48, -97, -92
0, 19, 19, -9, -9, 19, 48, 117, 68, -48, -97, -87
0, 19, 19, -9, -9, 19, 53, 117, 73, -43, -92, -87
0, 19, 19, -9, -9, 19, 58, 117, 78, -39, -87, -87
-4, 19, 24, -7, -14, 21, 58, 117, 78, -39, -87, -82
-9, 19, 29, -4, -19, 24, 58, 117, 78, -39, -87, -78
-9, 19, 29, -4, -19, 24, 53, 117, 78, -39, -87, -78
-9, 19, 29, -4, -19, 24, 48, 117, 78, -39, -87, -78
-14, 19, 34, -2, -24, 26, 48, 122, 82, -34, -82, -73
-19, 19, 39, 0, -29, 29, 48, 126, 87, -29, -78, -68
-19, 19, 39, 0, -29, 29, 48, 126, 87, -24, -73, -68
-19, 19, 39, 0, -29, 29, 48, 126, 87, -19, -68, -68
-14, 19, 34, -2, -24, 26, 43, 122, 87, -19, -68, -68
-9, 19, 29, -4, -19, 24, 39, 117, 87, -19, -68, -68
-9, 19, 29, -4, -19, 24, 39, 112, 87, -19, -63, -68
-9, 19, 29, -4, -19, 24, 39, 107, 87, -19, -58, -68
0, 24, 24, -12, -12, 24, 34, 107, 87, -19, -58, -68
9, 29, 19, -19, -4, 24, 29, 107, 87, -19, -58, -68
14, 29, 14, -21, 0, 21, 29, 107, 87, -14, -53, -63
19, 29, 9, -24, 4, 19, 29, 107, 87, -9, -48, -58
24, 29, 4, -26, 9, 17, 24, 107, 92, -4, -43, -53
29, 29, 0, -29, 14, 14, 19, 107, 97, 0, -39, -48
29, 29, 0, -29, 14, 14, 14, 102, 97, 0, -34, -43
29, 29, 0, -29, 14, 14, 9, 97, 97, 0, -29, -39
29, 29, 0, -29, 14, 14, 9, 97, 97, 4, -24, -34
29, 29, 0, -29, 14, 14, 9, 97, 97, 9, -19, -29
29, 39, 9, -34, 9, 24, 9, 92, 97, 14, -9, -24
29, 48, 19, -39, 4, 34, 9, 87, 97, 19, 0, -19
24, 48, 24, -36, 0, 36, 4, 82, 97, 24, 4, -14
19, 48, 29, -34, -4, 39, 0, 78, 97, 29, 9, -9
19, 48, 29, -34, -4, 39, 0, 78, 92, 39, 19, 0
19, 48, 29, -34, -4, 39, 0, 78, 87, 48, 29, 9
19, 53, 34, -36, -7, 43, -4, 68, 87, 53, 43, 19
19, 58, 39, -39, -9, 48, -9, 58, 87, 58, 58, 29
