I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-39,9,48,14,-43,29,117,87,-19,9,-48,-78
-39,9,48,14,-43,29,117,87,-19,9,-48,-78
-39,9,48,14,-43,29,117,87,-19,9,-48,-78
-39,9,48,14,-43,29,117,87,-19,9,-48,-78
-39,19,58,9,-48,39,117,97,-9,9,-48,-78
-39,19,58,9,-48,39,117,97,-9,9,-48,-78
-39,19,58,9,-48,39,117,97,-9,9,-48,-78
-39,19,58,9,-48,39,117,97,-9,9,-48,-78
-48,19,68,14,-58,43,126,107,0,9,-48,-78
-48,19,68,14,-58,43,126,107,0,9,-48,-78
-48,19,68,14,-58,43,126,107,0,9,-48,-78
-48,19,68,14,-58,43,126,107,0,9,-48,-78
-48,29,78,9,-63,53,131,122,9,19,-39,-78
-48,29,78,9,-63,53,136,126,9,19,-39,-78
-48,29,78,9,-63,53,141,131,9,19,-39,-78
-48,29,78,9,-63,53,146,136,9,19,-39,-78
-39,34,73,2,-56,53,146,141,24,34,-29,-73
-39,39,78,0,-58,58,146,146,29,39,-29,-68
-39,43,82,-2,-61,63,146,151,34,43,-29,-63
-39,48,87,-4,-63,68,146,156,39,48,-29,-58
-39,58,97,-9,-68,78,156,170,43,58,-24,-53
-39,58,97,-9,-68,78,156,175,48,58,-19,-48
-39,58,97,-9,-68,78,156,180,53,58,-14,-43
-39,58,97,-9,-68,78,156,185,58,58,-9,-39
-24,73,97,-24,-61,85,146,200,68,73,0,-24
-19,78,97,-29,-58,87,146,204,78,87,9,-19
-14,82,97,-34,-56,90,146,209,87,102,19,-14
-9,87,97,-39,-53,92,146,214,97,117,29,-9
-4,92,97,-43,-51,95,146,224,112,126,34,0
0,97,97,-48,-48,97,146,224,117,126,39,0
4,102,97,-53,-46,100,146,224,122,126,43,0
9,107,97,-58,-43,102,146,224,126,126,48,0
0,97,97,-48,-48,97,131,234,131,141,53,4
0,97,97,-48,-48,97,126,234,136,146,58,9
0,97,97,-48,-48,97,122,234,141,151,63,14
0,97,97,-48,-48,97,117,234,146,156,68,19
9,102,92,-56,-41,97,126,239,161,170,78,34
19,107,87,-63,-34,97,126,244,165,175,87,39
29,112,82,-70,-26,97,126,248,170,180,97,43
39,117,78,-78,-19,97,126,253,175,185,107,48
29,117,87,-73,-29,102,117,263,185,200,122,63
29,117,87,-73,-29,102,117,263,195,204,126,68
29,117,87,-73,-29,102,117,263,204,209,131,73
29,117,87,-73,-29,102,117,263,214,214,136,78
