I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
68,78,9,-73,29,43,14,39,29,-9,4,4
68,78,9,-73,29,43,19,43,34,-9,4,4
68,78,9,-73,29,43,19,48,34,-9,4,4
68,78,9,-73,29,43,19,48,34,-9,4,0
58,82,24,-70,17,53,19,48,34,-14,14,0
68,92,24,-80,21,58,24,48,39,-4,29,4
78,102,24,-90,26,63,24,58,48,4,39,19
78,112,34,-95,21,73,24,68,53,9,39,19
87,122,34,-104,26,78,24,63,53,14,39,24
82,136,53,-109,14,95,24,68,68,29,48,29
87,131,43,-109,21,87,19,82,92,58,68,34
97,122,24,-109,36,73,19,102,126,87,97,39
102,112,9,-107,46,61,29,141,170,112,97,39
112,87,-24,-100,68,31,58,195,219,136,107,29
112,43,-68,-78,90,-12,122,273,278,151,102,9
97,-19,-117,-39,107,-68,180,331,317,141,78,-34
78,-92,-170,7,124,-131,219,341,307,102,34,-68
92,-141,-234,24,163,-187,219,302,248,43,-4,-102
102,-170,-273,34,187,-222,190,244,185,-9,-48,-131
82,-185,-268,51,175,-226,107,117,78,-87,-102,-156
73,-200,-273,63,173,-236,-19,-78,-68,-185,-151,-165
78,-200,-278,61,178,-239,-141,-253,-200,-258,-175,-151
117,-185,-302,34,209,-244,-253,-400,-287,-283,-141,-92
165,-117,-283,-24,224,-200,-414,-595,-380,-287,-78,-14
219,-53,-273,-82,246,-163,-619,-775,-478,-287,-19,68
258,-9,-268,-124,263,-139,-805,-946,-585,-326,-9,126
263,24,-239,-143,251,-107,-966,-1117,-727,-424,-43,141
268,24,-244,-146,256,-109,-1137,-1288,-897,-527,-102,146
268,29,-239,-148,253,-104,-1307,-1449,-1049,-634,-156,136
253,58,-195,-156,224,-68,-1400,-1551,-1171,-727,-224,112
190,48,-141,-119,165,-46,-1385,-1600,-1234,-814,-326,34
73,-19,-92,-26,82,-56,-1288,-1551,-1234,-873,-448,-97
-29,-78,-48,53,9,-63,-1161,-1434,-1190,-917,-541,-200
-73,-102,-29,87,-21,-65,-1039,-1322,-1156,-946,-619,-283
-131,-92,39,112,-85,-26,-902,-1234,-1137,-951,-673,-346
-185,-73,112,129,-148,19,-771,-1156,-1083,-907,-673,-356
-185,-53,131,119,-158,39,-683,-1063,-1010,-854,-624,-336
-161,-48,112,104,-136,31,-634,-966,-941,-824,-595,-331
-146,-48,97,97,-122,24,-580,-878,-873,-800,-580,-322
-112,-34,78,73,-95,21,-531,-756,-771,-732,-531,-297
-78,-14,63,46,-70,24,-497,-634,-649,-634,-463,-258
-53,9,63,21,-58,36,-448,-551,-556,-556,-409,-229
-34,19,53,7,-43,36,-390,-468,-473,-463,-346,-190
-9,53,63,-21,-36,58,-331,-400,-400,-385,-278,-151
4,92,87,-48,-41,90,-268,-317,-322,-307,-219,-112
