I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-39,-126,-87,82,24,-107,117,-9,-78,-97,-97,-97
-39,-126,-87,82,24,-107,117,-9,-78,-97,-97,-97
-39,-126,-87,82,24,-107,117,-9,-78,-97,-97,-97
-39,-126,-87,82,24,-107,117,-9,-78,-97,-97,-97
-43,-117,-73,80,14,-95,126,0,-73,-97,-97,-97
-48,-117,-68,82,9,-92,126,0,-68,-97,-97,-97
-53,-117,-63,85,4,-90,126,0,-63,-97,-97,-97
-58,-117,-58,87,0,-87,126,0,-58,-97,-97,-97
-48,-117,-68,82,9,-92,126,0,-58,-107,-107,-107
-48,-117,-68,82,9,-92,126,0,-58,-107,-107,-107
-48,-117,-68,82,9,-92,126,0,-58,-107,-107,-107
-48,-117,-68,82,9,-92,126,0,-58,-107,-107,-107
-34,-117,-82,75,24,-100,117,-9,-68,-107,-107,-117
-29,-117,-87,73,29,-102,117,-9,-68,-107,-107,-117
-24,-117,-92,70,34,-104,117,-9,-68,-107,-107,-117
-19,-117,-97,68,39,-107,117,-9,-68,-107,-107,-117
-24,-107,-82,65,29,-95,126,4,-58,-97,-97,-112
-29,-107,-78,68,24,-92,126,9,-58,-97,-97,-107
-34,-107,-73,70,19,-90,126,14,-58,-97,-97,-102
-39,-107,-68,73,14,-87,126,19,-58,-97,-97,-97
-48,-107,-58,78,4,-82,136,24,-43,-82,-87,-92
-58,-107,-48,82,-4,-78,136,29,-39,-78,-87,-87
-68,-107,-39,87,-14,-73,136,34,-34,-73,-87,-82
-78,-107,-29,92,-24,-68,136,39,-29,-68,-87,-78
-58,-97,-39,78,-9,-68,126,39,-39,-78,-97,-87
-48,-97,-48,73,0,-73,126,39,-39,-78,-97,-87
-39,-97,-58,68,9,-78,126,39,-39,-78,-97,-87
-29,-97,-68,63,19,-82,126,39,-39,-78,-97,-87
-39,-87,-48,63,4,-68,136,48,-29,-78,-87,-87
-39,-87,-48,63,4,-68,136,48,-29,-78,-87,-87
-39,-87,-48,63,4,-68,136,48,-29,-78,-87,-87
-39,-87,-48,63,4,-68,136,48,-29,-78,-87,-87
-29,-87,-58,58,14,-73,146,63,-19,-78,-97,-97
-29,-87,-58,58,14,-73,146,68,-19,-78,-97,-97
-29,-87,-58,58,14,-73,146,73,-19,-78,-97,-97
-29,-87,-58,58,14,-73,146,78,-19,-78,-97,-97
-24,-87,-63,56,19,-75,156,92,-9,-68,-97,-97
-19,-87,-68,53,24,-78,156,97,0,-68,-97,-97
-14,-87,-73,51,29,-80,156,102,9,-68,-97,-97
-9,-87,-78,48,34,-82,156,107,19,-68,-97,-97
-14,-87,-73,51,29,-80,161,126,29,-58,-82,-92
-19,-87,-68,53,24,-78,165,136,39,-48,-78,-87
-24,-87,-63,56,19,-75,170,146,48,-39,-73,-82
-29,-87,-58,58,14,-73,175,156,58,-29,-68,-78
-39,-82,-43,61,2,-63,180,165,78,-24,-58,-68
-39,-78,-39,58,0,-58,185,175,87,-19,-58,-68
-39,-73,-34,56,-2,-53,190,185,97,-14,-58,-68
-39,-68,-29,53,-4,-48,195,195,107,-9,-58,-68
-34,-53,-19,43,-7,-36,204,209,122,-4,-48,-63
-29,-48,-19,39,-4,-34,204,224,136,0,-48,-58
-24,-43,-19,34,-2,-31,204,239,151,4,-48,-53
-19,-39,-19,29,0,-29,204,253,165,9,-48,-48
-9,-39,-29,24,9,-34,214,268,185,24,-43,-39
-9,-39,-29,24,9,-34,214,273,195,29,-39,-39
-9,-39,-29,24,9,-34,214,278,204,34,-34,-39
-9,-39,-29,24,9,-34,214,283,214,39,-29,-39
-9,-29,-19,19,4,-24,224,302,239,48,-14,-34
-9,-19,-9,14,0,-14,224,312,253,58,-9,-29
-9,-9,0,9,-4,-4,224,322,268,68,-4,-24
-9,0,9,4,-9,4,224,331,283,78,0,-19
4,4,0,-4,2,2,234,346,297,87,14,-4
9,9,0,-9,4,4,234,351,312,97,19,0
14,14,0,-14,7,7,234,356,326,107,24,4
19,19,0,-19,9,9,234,361,341,117,29,9
24,24,0,-24,12,12,224,366,361,126,34,19
29,29,0,-29,14,14,224,370,370,136,39,19
34,34,0,-34,17,17,224,375,380,146,43,19
39,39,0,-39,19,19,224,380,390,156,48,19
29,53,24,-41,2,39,214,380,405,170,58,34
29,58,29,-43,0,43,214,380,409,175,68,39
29,63,34,-46,-2,48,214,380,414,180,78,43
29,68,39,-48,-4,53,214,380,419,185,87,48
29,68,39,-48,-4,53,209,370,424,190,97,53
29,68,39,-48,-4,53,204,370,429,195,97,58
29,68,39,-48,-4,53,200,370,434,200,97,63
29,68,39,-48,-4,53,195,370,439,204,97,68
34,68,34,-51,0,51,185,356,424,204,97,68
39,68,29,-53,4,48,175,341,419,204,97,68
43,68,24,-56,9,46,165,326,414,204,97,68
48,68,19,-58,14,43,156,312,409,204,97,68
48,68,19,-58,14,43,141,297,400,200,87,78
48,68,19,-58,14,43,136,283,390,195,87,78
48,68,19,-58,14,43,131,268,380,190,87,78
48,68,19,-58,14,43,126,253,370,185,87,78
43,68,24,-56,9,46,112,234,351,180,87,87
39,68,29,-53,4,48,107,214,331,175,87,87
34,68,34,-51,0,51,102,195,312,170,87,87
29,68,39,-48,-4,53,97,175,292,165,87,87
24,58,34,-41,-4,46,82,156,263,156,73,73
19,48,29,-34,-4,39,78,136,244,146,68,68
14,39,24,-26,-4,31,73,117,224,136,63,63
9,29,19,-19,-4,24,68,97,204,126,58,58
9,24,14,-17,-2,19,63,78,185,117,43,53
9,19,9,-14,0,14,58,68,165,107,39,48
9,14,4,-12,2,9,53,58,146,97,34,43
9,9,0,-9,4,4,48,48,126,87,29,39
24,4,-19,-14,21,-7,43,24,107,68,19,24
29,0,-29,-14,29,-14,39,9,87,58,9,19
34,-4,-39,-14,36,-21,34,-4,68,48,0,14
39,-9,-48,-14,43,-29,29,-19,48,39,-9,9
34,-24,-58,-4,46,-41,19,-34,29,24,-14,4
29,-29,-58,0,43,-43,19,-39,19,19,-19,0
24,-34,-58,4,41,-46,19,-43,9,14,-24,-4
19,-39,-58,9,39,-48,19,-48,0,9,-29,-9
9,-39,-48,14,29,-43,19,-63,-19,-4,-34,-14
9,-39,-48,14,29,-43,19,-68,-29,-9,-39,-19
9,-39,-48,14,29,-43,19,-73,-39,-14,-43,-24
9,-39,-48,14,29,-43,19,-78,-48,-19,-48,-29
4,-48,-53,21,29,-51,19,-87,-58,-24,-58,-39
0,-48,-48,24,24,-48,19,-87,-58,-29,-58,-39
-4,-48,-43,26,19,-46,19,-87,-58,-34,-58,-39
-9,-48,-39,29,14,-43,19,-87,-58,-39,-58,-39
-19,-58,-39,39,9,-48,19,-87,-63,-39,-68,-39
