I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
104,141,37,-123,33,89,-17,404,261,156,31,49
102,149,46,-126,28,97,-37,425,275,172,49,52
131,176,44,-154,43,110,-68,484,325,223,81,76
175,221,45,-198,65,133,-112,512,382,275,120,104
214,253,40,-234,87,146,-151,565,424,321,162,141
258,299,41,-279,109,169,-186,621,473,386,212,185
300,339,39,-320,131,188,-242,660,507,439,261,223
334,368,34,-351,150,200,-278,674,527,478,293,253
361,390,29,-375,165,209,-317,642,509,506,321,277
358,383,25,-371,166,204,-338,606,502,512,323,282
362,383,21,-373,171,202,-337,564,480,490,313,273
350,359,10,-354,170,184,-314,522,427,428,291,256
275,305,29,-290,123,167,-251,470,349,358,233,214
195,258,64,-227,65,161,-210,379,247,269,169,160
141,207,66,-175,37,137,-166,272,171,169,96,111
91,153,61,-122,15,107,-115,211,100,108,33,61
26,102,76,-64,-25,88,-94,175,48,56,-10,27
5,70,65,-38,-31,67,-69,120,-20,6,-46,11
-4,57,60,-27,-32,58,-33,91,-78,-25,-60,-4
-16,49,65,-16,-41,57,-24,82,-86,-45,-78,-15
-3,43,45,-20,-24,44,-21,72,-104,-52,-92,-21
-9,36,44,-14,-27,40,-18,67,-102,-55,-90,-31
-12,29,41,-8,-27,35,-13,61,-86,-54,-89,-37
-13,24,38,-6,-26,31,-10,56,-92,-47,-85,-37
-10,25,35,-8,-23,30,-22,53,-92,-44,-85,-34
-12,24,37,-6,-25,31,-26,47,-78,-38,-83,-31
-29,26,54,1,-42,40,-24,44,-80,-35,-78,-28
-33,24,57,5,-46,40,-22,28,-88,-40,-75,-25
-32,30,62,1,-47,45,-19,13,-88,-40,-72,-26
-36,41,77,-3,-56,59,-21,10,-73,-41,-67,-30
-43,38,81,3,-62,59,-24,4,-64,-46,-66,-30
-44,35,80,5,-63,57,-26,25,-62,-45,-77,-30
-44,32,77,6,-61,54,-30,32,-52,-47,-81,-30
-45,30,74,7,-59,52,-28,23,-73,-52,-79,-30
-47,28,75,9,-62,51,-21,22,-79,-55,-81,-34
-46,22,68,11,-57,45,-16,15,-97,-62,-95,-41
-40,18,57,11,-49,37,-11,13,-130,-66,-102,-45
-34,13,47,10,-41,30,-5,4,-126,-68,-99,-45
-31,9,40,11,-35,24,0,21,-132,-71,-101,-48
-36,4,40,16,-39,22,-1,33,-135,-75,-105,-50
-39,1,40,19,-39,20,9,20,-147,-80,-110,-50
-42,-2,40,22,-41,19,17,14,-150,-84,-114,-46
-44,-4,40,24,-42,17,11,-13,-142,-83,-115,-45
-47,-8,40,28,-43,16,9,-44,-141,-80,-115,-45
-51,-10,41,30,-46,16,4,-50,-139,-80,-115,-45
-51,-13,38,32,-44,12,13,-44,-141,-80,-115,-45
-72,-21,51,47,-62,15,28,-39,-137,-79,-115,-46
-89,-29,60,59,-74,15,24,-35,-134,-82,-115,-56
-86,-35,52,60,-68,8,19,-30,-135,-90,-114,-61
-83,-35,48,59,-65,6,16,-26,-134,-90,-118,-59
-76,-35,41,55,-58,3,8,-25,-135,-90,-125,-60
-71,-35,36,53,-53,1,26,-22,-134,-90,-125,-60
-67,-35,31,51,-48,-2,47,-20,-130,-90,-126,-60
-60,-33,28,46,-44,-2,39,-18,-124,-90,-130,-60
-53,-30,24,41,-39,-2,35,-16,-118,-90,-130,-60
-51,-30,21,41,-36,-5,28,-12,-114,-90,-128,-60
-46,-30,16,37,-31,-7,26,-10,-105,-90,-125,-60
-46,-30,15,38,-31,-7,31,-6,-119,-90,-121,-60
-56,-29,26,42,-41,-1,29,-4,-131,-90,-119,-60
-45,-31,14,37,-29,-8,34,-19,-123,-86,-115,-60
-33,-29,4,31,-18,-12,34,-1,-121,-85,-115,-60
-46,-31,15,38,-30,-8,36,23,-115,-85,-119,-60
-46,-29,17,37,-31,-6,30,18,-112,-85,-122,-60
-58,-32,26,45,-42,-3,26,21,-109,-85,-126,-59
-100,-54,47,77,-73,-3,19,20,-110,-86,-128,-62
-98,-45,52,72,-75,3,16,20,-110,-93,-137,-67
-77,-23,55,49,-65,16,49,21,-110,-91,-128,-56
-69,-11,59,40,-64,24,44,19,-108,-74,-102,-41
-35,27,61,4,-48,44,61,20,-82,-48,-93,-30
4,70,66,-37,-32,68,86,38,-57,-29,-85,-21
11,83,71,-47,-30,77,85,61,-37,-14,-75,-13
7,104,97,-56,-46,100,62,42,-27,-9,-70,-3
6,111,105,-58,-49,107,7,21,-16,-20,-69,-1
15,84,70,-50,-28,77,-4,11,-26,-32,-64,1
12,44,32,-29,-10,38,-7,9,-58,-43,-72,-8
3,-9,-12,4,8,-11,22,-7,-83,-50,-91,-23
0,-40,-40,21,20,-40,49,-60,-127,-78,-113,-44
-29,-63,-33,46,2,-48,43,-60,-143,-105,-141,-76
-48,-73,-25,60,-11,-49,52,-41,-138,-108,-147,-82
-64,-79,-16,72,-24,-47,50,-46,-140,-105,-140,-75
-88,-97,-9,93,-39,-53,66,-48,-141,-104,-140,-76
-90,-94,-4,92,-43,-48,78,-49,-139,-106,-135,-70
-99,-96,4,97,-51,-46,72,-43,-136,-102,-135,-70
-92,-95,-3,93,-44,-49,78,-46,-128,-109,-142,-86
-69,-94,-25,82,-22,-59,72,-43,-123,-96,-137,-89
-83,-95,-12,90,-35,-53,78,-51,-120,-105,-143,-93
-58,-85,-26,72,-16,-55,68,-69,-107,-94,-131,-93
-51,-92,-41,72,-4,-66,56,-51,-127,-99,-139,-98
-82,-74,8,78,-44,-33,83,-59,-115,-94,-130,-84
-67,-91,-24,79,-21,-57,107,-28,-124,-89,-138,-89
-173,6,179,83,-176,93,222,102,99,-69,-154,-122
-150,157,308,-4,-229,232,260,338,436,133,-33,-63
231,308,77,-270,77,192,-125,374,540,504,310,228
705,566,-139,-635,421,213,-739,-338,406,1194,941,756
539,287,-252,-412,395,17,-656,-1254,-458,724,718,674
-86,-218,-132,152,24,-175,28,-1296,-1087,-544,-195,66
-232,-345,-113,289,-59,-229,390,-721,-880,-656,-428,-187
-247,-398,-150,323,-48,-274,502,-299,-666,-519,-438,-278
-207,-310,-104,259,-51,-207,406,-53,-338,-340,-342,-233
-66,-143,-78,105,6,-110,202,52,-56,-103,-173,-130
-56,-80,-24,69,-16,-52,113,95,26,-76,-142,-99
-52,-49,4,50,-28,-22,66,136,77,-23,-99,-69
-63,-31,32,46,-47,0,56,142,99,-20,-103,-72
-55,-25,30,40,-42,2,43,163,131,10,-85,-57
-49,-19,30,34,-39,5,32,167,150,14,-78,-54
-42,-14,29,28,-35,7,24,177,175,31,-68,-45
-31,-8,23,19,-27,7,18,202,202,58,-56,-35
-14,13,26,0,-20,19,13,221,231,74,-49,-28
9,29,21,-19,-6,25,7,221,254,94,-27,-18
19,36,17,-28,1,26,2,235,293,118,-9,-8
33,44,11,-38,11,27,-17,280,334,144,8,5
57,64,8,-61,24,36,-35,323,369,179,28,20
91,93,2,-92,44,47,-58,362,423,228,63,44
118,119,1,-119,58,60,-82,411,481,271,93,64
141,149,7,-145,67,78,-102,457,541,333,135,95
181,189,8,-185,86,98,-140,514,597,398,181,132
250,247,-4,-248,127,121,-178,564,643,455,233,175
295,278,-17,-286,156,130,-209,581,682,514,288,222
313,300,-13,-306,163,143,-242,597,701,560,321,244
337,332,-5,-334,171,163,-265,573,707,581,354,269
337,337,0,-337,168,168,-273,526,671,586,355,285
323,332,9,-328,157,170,-267,507,623,557,339,268
295,307,12,-301,142,159,-242,459,576,500,313,236
233,261,28,-247,102,144,-198,372,487,414,236,191
155,209,54,-182,50,132,-152,289,383,305,163,139
91,145,54,-118,19,99,-90,223,278,216,99,85
47,94,47,-71,0,70,-28,170,190,139,39,35
14,56,42,-35,-14,49,6,122,120,85,1,-4
-16,20,36,-2,-26,28,20,79,65,37,-41,-29
-30,2,32,14,-31,17,26,43,29,4,-66,-42
-33,-7,26,20,-29,9,36,34,7,1,-73,-49
-41,-18,23,29,-32,3,43,33,-2,-5,-76,-50
-44,-27,17,36,-30,-5,40,29,-5,-10,-75,-50
-46,-30,16,38,-31,-7,36,27,-10,-17,-75,-50
-54,-33,21,44,-37,-6,33,24,-15,-20,-75,-50
-55,-35,19,45,-36,-7,28,22,-12,-20,-75,-51
-53,-30,23,41,-38,-4,25,19,-8,-20,-72,-47
-52,-27,25,39,-38,-1,25,20,-4,-20,-67,-44
-48,-23,25,35,-36,1,25,15,-1,-20,-64,-39
-45,-20,25,32,-35,2,25,15,4,-20,-61,-38
-39,-14,25,26,-32,5,25,14,4,-24,-56,-31
-44,-19,25,31,-34,3,26,-13,-5,-26,-56,-32
-61,-36,25,48,-43,-5,24,-34,-13,-24,-65,-53
-67,-42,25,54,-46,-7,20,-37,-23,-26,-68,-56
-62,-38,23,50,-43,-7,20,-42,-28,-23,-63,-54
-65,-45,20,55,-43,-12,20,-46,-41,-31,-72,-56
-72,-55,17,63,-44,-19,20,-44,-56,-45,-86,-54
-70,-55,15,62,-42,-20,20,-48,-55,-46,-85,-57
-66,-55,11,61,-38,-22,24,-51,-55,-44,-85,-60
-64,-54,10,59,-37,-21,25,-49,-55,-49,-85,-64
-70,-61,9,66,-39,-26,25,-61,-54,-60,-84,-65
-83,-71,12,77,-48,-29,24,-67,-58,-60,-88,-65
-95,-73,22,83,-58,-25,28,-64,-60,-61,-90,-70
-97,-77,20,87,-58,-28,28,-64,-65,-66,-90,-70
-95,-80,15,87,-55,-32,33,-60,-80,-64,-94,-70
-96,-84,13,90,-54,-35,44,-60,-90,-68,-95,-70
-94,-85,8,90,-51,-38,39,-63,-94,-70,-95,-70
-89,-85,4,86,-46,-40,34,-67,-95,-70,-95,-70
-88,-85,3,86,-45,-41,28,-72,-96,-70,-95,-70
-83,-85,-3,84,-39,-43,23,-74,-100,-70,-95,-70
-92,-83,8,87,-49,-37,17,-82,-100,-71,-95,-66
-107,-80,26,93,-67,-27,15,-93,-97,-75,-95,-65
-99,-77,21,88,-60,-28,14,-87,-95,-75,-93,-64
-93,-75,19,84,-55,-28,17,-77,-95,-75,-90,-66
-86,-72,14,78,-50,-28,34,-69,-91,-75,-87,-63
-80,-69,11,74,-45,-29,32,-64,-90,-75,-84,-71
-84,-77,7,81,-45,-35,27,-66,-90,-75,-80,-90
-82,-83,-1,83,-41,-41,24,-64,-98,-75,-80,-90
-70,-78,-8,75,-31,-43,19,-77,-113,-75,-85,-90
-63,-76,-14,70,-24,-45,21,-99,-115,-75,-85,-90
-63,-73,-10,68,-26,-41,17,-110,-118,-75,-85,-90
-63,-70,-7,67,-28,-39,14,-110,-121,-74,-85,-88
-67,-69,-2,68,-33,-35,15,-109,-125,-71,-85,-83
