I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-265,-150,116,207,-190,-17,587,865,825,277,-249,-314
-261,-146,115,203,-187,-15,590,871,835,294,-242,-307
-257,-139,118,198,-187,-10,554,869,840,311,-228,-297
-245,-123,122,184,-183,0,503,836,806,326,-204,-287
-171,-99,73,135,-122,-13,425,747,728,326,-165,-263
-107,-84,23,95,-65,-30,346,642,628,315,-112,-215
-84,-81,3,82,-43,-39,264,522,503,292,-69,-148
-44,-58,-15,51,-14,-37,167,388,374,234,-25,-89
-7,-22,-15,15,4,-18,101,284,278,182,25,-41
8,-7,-15,0,11,-11,60,210,201,141,38,1
7,-8,-16,1,12,-12,47,159,153,113,32,23
2,-3,-5,0,4,-4,44,136,134,107,31,23
-4,1,6,1,-5,3,39,131,126,102,26,20
-44,-24,20,34,-32,-2,35,123,122,98,25,21
-52,-22,31,37,-41,4,29,116,118,94,21,16
-49,-19,31,34,-39,5,34,107,113,89,20,15
-24,2,26,11,-25,13,35,113,110,85,20,16
-6,19,25,-7,-16,22,35,121,114,85,15,21
-55,-34,20,45,-37,-7,39,119,117,84,15,31
-48,-29,19,39,-33,-5,40,120,121,79,16,33
-43,-16,27,29,-35,6,38,119,124,80,22,28
-65,-27,38,46,-51,5,31,120,133,83,25,22
-53,12,65,20,-59,38,23,116,142,100,30,19
-53,32,86,10,-70,59,15,110,147,110,35,13
-77,26,103,25,-90,65,8,102,163,115,34,10
-71,51,122,10,-97,87,-9,97,170,127,37,20
-13,111,124,-49,-69,117,-50,88,161,124,52,36
11,135,124,-73,-57,129,-95,57,147,115,49,43
6,122,116,-64,-55,119,-109,32,136,104,25,33
27,138,111,-83,-42,124,-118,44,118,126,54,57
3,103,100,-53,-49,101,-103,74,118,154,76,72
-25,65,91,-20,-58,78,-43,67,112,129,46,43
-33,45,78,-6,-56,62,16,90,125,118,40,23
-38,9,46,14,-42,27,41,111,125,109,33,8
-22,-9,13,15,-17,2,61,123,115,100,23,3
-24,-18,6,21,-15,-6,58,120,126,100,20,-4
