I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-23,-12,11,17,-17,-1,51,-1,-21,-51,-45,38
-40,-38,2,39,-21,-18,65,-3,-24,-50,-34,41
-31,-27,4,29,-18,-11,101,18,-2,-29,-12,71
4,47,44,-26,-20,45,144,59,38,5,14,81
14,55,41,-34,-14,48,153,95,81,32,44,96
31,62,31,-47,0,46,146,109,89,32,51,107
64,91,27,-78,18,59,120,109,83,34,50,106
50,68,18,-59,16,43,61,78,58,26,53,111
28,41,13,-35,7,27,34,19,4,-11,30,83
-4,-15,-12,10,4,-13,37,-12,-35,-50,-10,48
4,-34,-39,15,22,-36,21,-24,-60,-71,-38,49
-22,-22,1,22,-11,-10,52,-36,-60,-74,-41,46
-124,-78,46,101,-85,-16,77,-34,-59,-74,-38,33
-149,-101,48,125,-98,-26,74,-36,-61,-85,-42,22
-121,-89,33,105,-77,-27,77,-33,-58,-83,-31,22
-127,-101,25,114,-76,-38,58,-38,-61,-84,-39,10
-154,-105,49,129,-101,-28,74,-29,-51,-76,-31,11
-143,-96,47,119,-94,-24,102,-29,-66,-77,-45,-1
-140,-96,44,118,-92,-26,85,-17,-52,-76,-40,5
-138,-104,35,121,-86,-34,79,0,-44,-80,-20,27
-131,-94,37,112,-84,-28,129,49,-2,-66,-33,-5
77,7,-70,-41,74,-32,31,145,150,134,169,151
466,362,-104,-414,284,129,-192,-157,42,261,532,549
528,696,168,-612,180,432,-472,-723,-407,89,846,988
111,382,272,-247,-81,327,-484,-830,-705,-305,442,658
-276,-87,190,181,-233,52,-67,-455,-516,-436,-164,-17
-223,-85,137,154,-180,26,90,-138,-196,-188,-75,-13
-111,-39,72,74,-91,16,76,-26,-59,-83,-1,37
-120,-62,57,91,-88,-2,100,22,-7,-45,10,35
-119,-56,63,88,-91,3,98,40,-6,-20,30,62
-115,-50,65,82,-90,7,119,52,3,-23,12,41
-94,-36,58,65,-76,11,87,49,23,-5,57,70
-91,-37,54,63,-72,8,83,63,30,-6,50,53
-83,-31,51,57,-67,10,80,72,32,8,59,67
-59,-16,43,37,-50,13,78,68,33,13,64,74
-60,-1,59,30,-59,29,78,71,37,27,64,83
-63,9,72,27,-67,40,72,77,37,37,58,100
-37,33,70,2,-54,51,76,82,44,44,82,105
-36,33,69,1,-53,51,59,78,50,55,107,106
-9,61,71,-26,-40,66,46,81,47,58,116,113
19,103,85,-62,-33,94,55,94,68,80,138,143
11,97,85,-55,-37,91,26,104,83,95,167,172
41,118,77,-79,-18,97,-2,96,78,101,192,192
66,151,85,-108,-10,118,-29,102,88,126,211,217
98,190,92,-144,3,141,-48,124,111,158,256,261
126,234,108,-180,9,171,-53,126,118,175,287,292
136,236,100,-187,18,168,-97,125,124,188,312,319
185,260,75,-222,54,167,-94,125,144,210,328,353
198,270,72,-234,63,171,-73,131,136,215,313,340
134,190,56,-163,39,123,-47,132,129,184,299,288
79,122,43,-101,18,83,-1,119,120,142,255,226
64,90,27,-78,19,58,30,110,93,112,192,166
15,36,22,-26,-4,29,62,101,65,69,138,129
-11,17,28,-3,-20,22,81,93,38,39,110,110
-7,11,18,-2,-12,14,93,84,27,31,104,99
-40,-31,10,35,-25,-10,96,80,19,22,95,89
-47,-46,0,47,-23,-23,95,78,14,13,85,87
-41,-51,-10,47,-15,-30,101,74,8,3,79,83
-34,-35,-1,34,-16,-17,106,72,3,0,81,79
-78,-35,43,56,-60,4,112,69,-4,3,79,76
-113,-59,54,86,-83,-3,109,67,-3,8,81,70
-70,-28,42,49,-56,6,112,61,4,9,78,86
-66,-30,36,48,-50,3,124,56,-6,-5,83,98
-66,-40,26,53,-46,-7,114,53,-12,-23,80,93
-76,-29,47,52,-61,9,111,46,-23,-27,80,91
-105,-47,58,76,-81,5,121,47,-27,-25,104,89
-83,-31,53,57,-68,11,112,50,-24,-24,98,90
-74,-17,56,45,-65,19,108,47,-26,-21,90,90
-84,-30,54,56,-69,12,100,42,-24,-18,85,90
-67,-13,54,39,-61,21,97,41,-29,-26,77,88
-71,-30,41,50,-56,6,89,33,-34,-33,72,84
-52,-43,9,47,-30,-16,86,39,-23,-23,70,86
-51,-27,24,39,-37,-1,120,56,-16,-12,68,84
-49,4,53,23,-51,28,140,75,-3,-2,89,92
-9,56,65,-24,-37,60,155,108,30,18,117,115
-4,47,51,-21,-28,48,157,123,50,36,114,119
43,71,28,-57,7,49,144,129,54,44,122,123
79,102,22,-91,28,62,119,117,51,50,132,129
60,63,3,-62,28,33,71,69,7,21,113,112
-5,11,16,-3,-11,14,47,30,-49,-33,74,96
-46,-51,-5,49,-21,-28,34,20,-55,-51,52,85
-20,-30,-10,25,-4,-20,58,17,-60,-54,45,71
-68,-34,34,51,-50,0,97,15,-75,-60,40,63
-133,-99,34,115,-83,-32,99,9,-84,-80,30,52
-139,-100,39,119,-89,-31,89,8,-84,-87,24,42
-142,-99,42,120,-92,-28,86,0,-86,-83,19,42
-165,-102,63,133,-114,-19,80,-11,-96,-86,8,33
-153,-97,56,125,-104,-20,62,-3,-87,-76,12,40
-140,-96,44,118,-91,-26,91,-3,-89,-86,-7,24
-124,-87,37,105,-81,-25,70,15,-70,-69,5,38
-111,-88,22,99,-66,-33,97,33,-60,-86,-22,26
-65,-66,-1,66,-32,-34,122,139,51,21,80,65
261,168,-93,-214,176,38,-50,105,171,270,421,366
506,630,124,-568,191,377,-300,-363,-102,300,871,899
289,667,378,-479,-44,522,-515,-770,-569,-26,914,1052
-113,135,248,-11,-181,191,-268,-631,-671,-428,155,322
-270,-114,155,191,-212,21,66,-250,-371,-349,-154,-76
-169,-49,120,109,-144,36,86,-49,-140,-124,31,64
-119,-44,75,81,-97,15,122,21,-69,-86,22,38
-95,-31,64,62,-79,17,109,43,-33,-39,63,62
-94,-29,65,62,-79,17,104,60,-27,-30,50,67
-97,-22,74,59,-85,26,105,68,-20,-18,56,76
-77,-13,65,45,-71,26,93,62,-17,-10,56,77
-75,-9,67,41,-70,29,96,67,-10,-3,54,72
-57,6,63,25,-60,35,81,63,-5,6,72,78
-58,1,60,29,-59,30,78,66,-1,9,73,72
-60,1,61,29,-60,31,67,71,2,19,82,86
-32,25,57,4,-45,41,61,76,6,22,78,83
-27,28,55,-1,-41,41,51,74,9,35,94,100
-20,35,55,-8,-37,45,38,77,13,46,109,112
10,68,59,-39,-25,63,27,88,33,53,125,124
16,89,73,-52,-29,81,18,90,47,69,139,138
32,112,80,-72,-24,95,2,90,51,86,164,158
62,138,76,-100,-8,107,-17,89,60,103,196,195
103,171,69,-137,17,120,-46,92,69,124,226,223
133,213,80,-173,26,146,-86,98,82,151,249,252
142,235,92,-189,25,163,-121,104,92,165,272,278
180,259,79,-219,50,168,-132,103,99,178,292,306
192,259,68,-226,62,163,-113,106,110,182,279,311
172,229,58,-201,57,143,-87,125,112,170,262,277
111,165,54,-138,28,109,-45,122,99,152,223,218
49,101,52,-75,-2,76,-3,117,89,117,168,154
28,77,49,-53,-11,63,19,114,73,66,127,111
-15,26,42,-6,-29,34,47,100,36,29,83,72
-25,3,28,10,-26,15,64,87,19,23,56,51
-42,-26,16,34,-29,-5,64,75,17,16,50,46
-64,-52,12,58,-38,-20,69,75,13,8,45,41
-71,-36,35,53,-53,-1,79,75,9,1,39,38
-88,-34,54,61,-71,10,79,70,6,-4,33,32
-64,-17,46,40,-55,14,73,70,3,1,30,30
-77,-39,38,58,-57,0,71,69,-5,-1,21,14
-74,-41,33,57,-53,-4,66,64,-6,4,23,24
-46,-25,21,36,-34,-2,65,59,-4,16,40,44
-53,-24,29,39,-41,2,65,54,-1,13,37,35
-58,-11,47,34,-52,18,65,50,1,9,31,32
-50,-11,39,30,-44,14,65,45,-2,6,28,27
-31,6,36,12,-33,21,65,41,-5,1,22,22
-24,7,30,8,-27,18,65,39,-9,-1,19,19
-32,-5,27,18,-30,11,68,36,-13,-6,12,12
-47,-26,21,36,-34,-2,71,34,-16,-9,6,6
-54,-39,15,47,-34,-12,69,29,-21,-13,-1,-1
-73,-29,44,51,-58,7,76,32,-16,-16,-7,-7
-79,-27,52,53,-66,12,73,37,-12,-21,-14,-15
-72,-24,49,48,-60,12,77,34,-7,-15,-11,-10
-72,-24,47,48,-59,12,61,37,-3,-4,1,0
-33,11,44,10,-39,28,73,51,3,5,8,9
12,57,45,-35,-17,51,144,96,44,41,29,32
32,67,35,-50,-2,51,150,122,66,57,33,43
54,72,18,-63,18,45,136,121,51,57,41,45
79,90,11,-85,34,50,103,127,41,62,51,51
62,77,15,-70,24,46,51,77,29,36,35,43
39,39,-1,-39,20,19,41,22,-4,2,8,15
14,-11,-25,-2,19,-17,31,6,-48,-32,-32,-14
-26,-54,-28,40,2,-41,21,-4,-62,-48,-40,-28
-24,-37,-13,30,-5,-25,38,-6,-59,-43,-50,-39
-72,-72,0,72,-36,-36,72,-12,-60,-45,-59,-48
-134,-106,28,120,-81,-39,83,-16,-61,-56,-70,-58
-133,-89,44,111,-88,-22,78,-20,-58,-53,-79,-64
-125,-92,33,108,-79,-29,79,-25,-65,-56,-83,-68
-115,-80,35,97,-75,-22,74,-24,-69,-47,-79,-62
-103,-80,22,91,-62,-29,73,-26,-71,-53,-88,-69
-102,-73,29,87,-65,-22,83,-25,-62,-51,-85,-62
-105,-96,9,101,-57,-43,82,-12,-60,-46,-69,-75
-80,-90,-11,85,-34,-50,85,89,18,-4,-45,-73
150,60,-90,-105,120,-15,2,89,135,175,164,120
524,423,-101,-473,312,161,-250,-356,-112,200,494,518
523,642,119,-583,202,380,-598,-894,-606,-54,698,862
90,249,159,-170,-35,203,-498,-849,-759,-383,232,430
-238,-100,138,169,-188,19,-24,-391,-455,-376,-242,-126
-224,-86,138,155,-181,26,109,-113,-152,-121,-92,-59
-126,-68,58,97,-92,-5,108,-23,-51,-43,-47,-41
-95,-32,62,64,-78,15,115,14,-11,-21,-41,-46
-85,-25,61,55,-73,18,94,27,6,-5,-24,-25
-76,-22,55,49,-65,16,100,33,13,6,-37,-33
-59,6,64,26,-62,35,83,37,22,8,-17,-13
-49,22,71,13,-60,46,85,59,46,16,-27,-19
-46,13,59,16,-52,36,77,60,52,42,-13,-4
-30,9,39,10,-34,23,76,59,50,45,-12,-2
-12,38,50,-13,-32,44,72,61,58,57,1,6
-11,50,61,-20,-36,56,67,59,53,61,7,15
-10,49,60,-19,-35,54,65,62,68,73,14,24
-9,51,60,-21,-35,56,56,70,70,84,31,30
-11,49,59,-19,-35,54,43,78,73,89,47,46
17,78,61,-48,-22,69,32,75,97,107,63,62
29,94,65,-62,-18,79,24,80,103,121,78,71
36,107,71,-72,-17,89,16,104,130,156,120,110
83,173,90,-128,-4,131,-1,119,149,179,148,145
78,197,119,-138,-21,158,-51,121,158,198,176,174
113,235,122,-174,-5,179,-80,128,185,238,222,215
170,271,101,-221,34,186,-87,124,176,243,234,240
163,252,88,-208,37,169,-90,115,166,245,241,252
164,237,73,-201,46,155,-77,109,159,244,233,232
134,195,60,-165,37,127,-63,100,147,211,190,188
92,136,44,-114,24,90,-42,95,135,170,139,127
55,82,27,-69,14,54,-3,79,104,120,68,65
-9,22,31,-7,-20,26,57,63,69,72,16,25
-52,-21,31,37,-41,5,78,61,55,49,0,-4
-48,-27,22,37,-35,-2,74,53,50,36,-12,-20
-45,-30,15,37,-30,-7,75,37,42,26,-23,-29
-48,-41,8,44,-28,-16,69,30,36,22,-35,-30
-44,-44,-1,44,-21,-22,70,27,30,20,-37,-32
-55,-54,1,54,-28,-26,70,23,25,15,-34,-38
