I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
295,251,-43,-272,169,103,-155,199,504,315,359,291
287,264,-23,-275,155,120,-154,188,493,321,349,302
254,260,6,-257,124,133,-150,156,449,316,336,301
215,225,10,-220,102,117,-131,114,372,275,313,268
184,182,-2,-183,93,90,-99,77,289,206,242,213
149,130,-19,-139,84,55,-66,41,196,118,160,145
118,77,-41,-97,79,18,-46,14,122,50,93,84
84,23,-62,-53,73,-19,-38,6,73,1,37,48
71,-5,-76,-33,73,-40,-27,1,34,-42,1,37
64,-11,-75,-26,70,-43,-21,-4,19,-65,-16,26
50,-24,-74,-13,62,-49,-16,-10,20,-78,-27,14
47,-30,-76,-8,62,-53,-11,-14,23,-80,-33,10
43,-30,-73,-6,58,-51,-5,-11,25,-75,-32,10
48,-30,-78,-9,63,-54,-1,-7,29,-72,-28,10
61,-30,-91,-15,76,-61,-5,-4,30,-67,-26,10
58,-30,-88,-14,73,-59,-5,0,24,-65,-22,10
55,-30,-85,-12,70,-57,-6,5,18,-71,-20,10
58,-25,-83,-16,71,-54,-10,3,13,-78,-22,10
54,-25,-79,-14,67,-52,-10,-2,7,-84,-26,10
58,-24,-82,-16,70,-53,-7,-5,2,-90,-28,10
62,-29,-91,-17,77,-60,-5,-9,-4,-89,-31,10
57,-48,-105,-4,81,-76,-5,-13,-11,-94,-34,9
48,-54,-102,3,75,-78,-2,-16,-17,-108,-36,4
38,-57,-95,10,67,-76,1,-19,-25,-118,-39,1
32,-62,-94,15,63,-78,-1,-24,-30,-120,-43,-2
21,-64,-85,22,53,-74,-4,-27,-37,-120,-46,-7
23,-68,-91,23,57,-79,-5,-30,-48,-126,-51,-10
40,-70,-110,15,75,-90,-5,-35,-50,-130,-54,-10
37,-73,-110,18,74,-92,-5,-32,-50,-130,-58,-10
34,-76,-110,21,72,-92,-5,-30,-50,-130,-63,-10
39,-71,-110,16,75,-91,-3,-30,-50,-130,-65,-10
40,-70,-109,15,75,-90,0,-26,-50,-130,-68,-10
40,-70,-110,15,75,-90,3,-24,-50,-130,-71,-10
40,-70,-110,15,75,-90,6,-26,-50,-134,-74,-10
40,-71,-110,15,75,-90,9,-29,-50,-135,-75,-10
40,-69,-110,14,75,-89,10,-30,-52,-138,-70,-10
39,-71,-110,16,75,-91,10,-30,-60,-141,-70,-10
41,-68,-109,14,75,-89,10,-28,-64,-137,-69,-10
34,-72,-105,19,70,-88,10,-24,-61,-135,-65,-14
16,-86,-101,35,59,-93,10,-25,-60,-135,-65,-15
15,-83,-98,34,57,-90,10,-21,-60,-135,-65,-15
15,-80,-95,33,55,-87,10,-20,-60,-135,-65,-15
11,-78,-89,33,51,-83,10,-20,-60,-136,-65,-15
21,-75,-96,27,59,-85,10,-15,-58,-139,-65,-14
28,-73,-101,23,64,-87,10,-14,-54,-141,-65,-8
23,-69,-93,23,58,-81,10,-14,-55,-137,-65,-3
19,-71,-90,26,55,-80,10,-8,-51,-129,-59,4
12,-69,-82,29,47,-75,15,-12,-48,-121,-53,8
8,-70,-78,32,43,-74,23,-5,-52,-113,-46,17
25,-49,-74,13,50,-61,22,7,-37,-106,-39,32
60,-16,-76,-22,68,-45,9,23,-17,-93,-30,44
69,-7,-75,-30,72,-41,-1,48,19,-77,-6,62
85,12,-73,-48,79,-30,-14,22,32,-84,-6,64
117,12,-105,-65,111,-46,-30,-8,-3,-86,-11,55
105,-19,-124,-43,115,-72,-30,-13,-19,-90,-20,50
94,-39,-133,-28,114,-86,-28,-27,-40,-108,-25,39
64,-57,-121,-4,93,-89,-8,-29,-47,-121,-35,37
32,-87,-119,28,76,-103,11,-31,-69,-140,-60,24
7,-82,-89,38,48,-85,11,-29,-66,-134,-50,22
-3,-103,-100,53,49,-101,13,-37,-72,-149,-71,4
7,-108,-114,51,61,-111,4,-47,-71,-127,-60,5
1,-141,-142,70,71,-141,37,4,-46,-160,-85,-14
80,-150,-231,36,156,-190,45,153,77,-103,-58,-17
177,120,-57,-148,117,32,-39,111,461,391,324,268
277,555,278,-417,-1,416,-244,-623,32,1103,1117,876
