I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-10,-79,-69,45,30,-74,0,-55,-110,-125,-80,-95
-9,-74,-65,42,28,-69,0,-55,-110,-125,-80,-95
-9,-69,-60,39,26,-64,0,-55,-110,-125,-80,-92
-7,-63,-55,35,24,-59,0,-55,-106,-123,-80,-89
-6,-58,-52,32,23,-54,-1,-55,-104,-135,-80,-86
-7,-52,-45,30,20,-48,2,-55,-105,-136,-79,-85
-2,-50,-48,26,23,-48,-21,-48,-98,-125,-76,-85
1,-50,-51,25,26,-51,-11,-40,-90,-118,-73,-85
3,-46,-50,22,27,-48,12,-32,-81,-110,-70,-85
6,-44,-50,19,28,-47,7,-24,-64,-101,-67,-85
5,-45,-50,20,28,-47,23,-20,-50,-88,-65,-85
10,-39,-50,15,30,-44,27,-20,-38,-77,-62,-82
14,-36,-50,11,33,-43,23,-20,-33,-73,-60,-79
19,-31,-50,6,34,-40,23,-20,-30,-67,-57,-80
24,-26,-50,1,37,-38,18,-20,-27,-64,-54,-76
27,-23,-50,-2,39,-36,22,-21,-22,-59,-51,-75
31,-19,-50,-6,40,-34,23,-24,-19,-55,-49,-75
29,-21,-50,-4,39,-36,26,-26,-26,-61,-51,-70
37,-18,-54,-9,46,-36,25,-23,-23,-58,-48,-70
50,-32,-82,-9,66,-57,22,-31,-32,-68,-57,-69
54,-37,-92,-8,74,-65,41,-35,-45,-79,-69,-65
61,-17,-78,-21,70,-47,53,-20,-39,-67,-60,-66
63,-1,-64,-31,63,-32,49,-6,-33,-58,-53,-63
66,36,-30,-51,47,3,50,1,-28,-47,-44,-56
54,40,-15,-47,34,12,51,10,-22,-45,-40,-49
65,51,-14,-58,40,18,4,-12,-19,-45,-40,-42
112,91,-21,-101,66,35,-55,-61,-51,-41,-40,-35
134,92,-42,-112,88,25,-57,-70,-77,-40,-41,-30
131,85,-46,-108,89,19,-53,-64,-79,-38,-38,-20
107,56,-50,-82,78,3,-41,-58,-81,-50,-43,-25
82,16,-66,-49,74,-25,-27,-57,-78,-53,-45,-24
57,-26,-83,-15,70,-55,-13,-49,-78,-82,-73,-38
37,-39,-76,1,57,-57,-12,-48,-71,-88,-88,-60
23,-52,-75,15,49,-64,5,-42,-81,-102,-102,-61
3,-68,-71,32,37,-69,19,-34,-75,-89,-93,-61
-4,-76,-72,40,35,-74,24,-39,-86,-97,-105,-87
