I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
497,429,-68,-463,283,180,-400,-107,888,966,966,673
497,429,-68,-463,283,180,-400,-107,888,966,966,673
497,429,-68,-463,283,180,-400,-107,888,966,966,673
497,429,-68,-463,283,180,-400,-107,888,966,966,673
619,351,-268,-485,444,41,-629,-375,688,854,927,712
741,283,-458,-512,600,-87,-849,-644,488,751,897,741
863,214,-649,-539,756,-217,-1068,-912,287,649,868,771
985,146,-839,-566,912,-346,-1288,-1180,87,546,839,800
956,-24,-980,-466,968,-502,-1239,-1195,-239,219,590,649
936,-195,-1132,-370,1034,-663,-1200,-1210,-566,-107,341,507
917,-366,-1283,-275,1100,-824,-1161,-1224,-893,-434,92,366
897,-536,-1434,-180,1166,-985,-1122,-1239,-1220,-761,-156,224
834,-575,-1410,-129,1122,-993,-1010,-1107,-1205,-854,-278,117
780,-614,-1395,-82,1088,-1005,-897,-976,-1200,-946,-390,9
727,-653,-1381,-36,1054,-1017,-785,-844,-1195,-1039,-502,-97
673,-692,-1366,9,1019,-1029,-673,-712,-1190,-1132,-614,-204
590,-605,-1195,7,893,-900,-575,-629,-1054,-1019,-551,-165
517,-517,-1034,0,775,-775,-488,-546,-917,-917,-488,-136
444,-429,-873,-7,658,-651,-400,-463,-780,-814,-424,-107
370,-341,-712,-14,541,-527,-312,-380,-644,-712,-361,-78
297,-283,-580,-7,439,-431,-253,-326,-556,-639,-302,-63
224,-234,-458,4,341,-346,-204,-273,-468,-566,-253,-48
151,-185,-336,17,244,-261,-156,-219,-380,-492,-204,-34
78,-136,-214,29,146,-175,-107,-165,-292,-419,-156,-19
48,-122,-170,36,109,-146,-63,-117,-234,-385,-131,-19
19,-107,-126,43,73,-117,-29,-78,-185,-351,-117,-19
-9,-92,-82,51,36,-87,4,-39,-136,-317,-102,-19
-39,-78,-39,58,0,-58,39,0,-87,-283,-87,-19
-48,-78,-29,63,-9,-53,29,0,-82,-268,-78,-34
-58,-78,-19,68,-19,-48,29,0,-78,-263,-78,-39
-68,-78,-9,73,-29,-43,29,0,-73,-258,-78,-43
-78,-78,0,78,-39,-39,29,0,-68,-253,-78,-48
-78,-63,14,70,-46,-24,43,14,-63,-244,-78,-43
-78,-58,19,68,-48,-19,48,19,-58,-244,-78,-39
-78,-53,24,65,-51,-14,53,24,-53,-244,-78,-34
-78,-48,29,63,-53,-9,58,29,-48,-244,-78,-29
-82,-53,29,68,-56,-12,63,29,-43,-244,-78,-19
-87,-58,29,73,-58,-14,68,29,-39,-244,-78,-19
-92,-63,29,78,-61,-17,73,29,-34,-244,-78,-19
-97,-68,29,82,-63,-19,78,29,-29,-244,-78,-19
-107,-63,43,85,-75,-9,78,39,-29,-234,-73,-29
-107,-58,48,82,-78,-4,78,39,-29,-234,-68,-29
-107,-53,53,80,-80,0,78,39,-29,-234,-63,-29
-107,-48,58,78,-82,4,78,39,-29,-234,-58,-29
-97,-58,39,78,-68,-9,73,39,-19,-224,-68,-29
-97,-58,39,78,-68,-9,68,39,-19,-224,-68,-29
-97,-58,39,78,-68,-9,63,39,-19,-224,-68,-29
-97,-58,39,78,-68,-9,58,39,-19,-224,-68,-29
-92,-48,43,70,-68,-2,68,48,-19,-214,-63,-19
-87,-39,48,63,-68,4,78,48,-19,-214,-58,-19
-82,-29,53,56,-68,12,87,48,-19,-214,-53,-19
-78,-19,58,48,-68,19,97,48,-19,-214,-48,-19
-68,-19,48,43,-58,14,82,39,-9,-214,-53,-24
-68,-19,48,43,-58,14,78,39,-9,-214,-58,-29
-68,-19,48,43,-58,14,73,39,-9,-214,-63,-34
-68,-19,48,43,-58,14,68,39,-9,-214,-68,-39
-87,-39,48,63,-68,4,68,34,-14,-224,-68,-29
-97,-48,48,73,-73,0,68,29,-19,-224,-68,-29
-107,-58,48,82,-78,-4,68,24,-24,-224,-68,-29
-117,-68,48,92,-82,-9,68,19,-29,-224,-68,-29
-112,-63,48,87,-80,-7,78,24,-24,-214,-58,-19
-107,-58,48,82,-78,-4,78,29,-19,-214,-58,-19
-102,-53,48,78,-75,-2,78,34,-14,-214,-58,-19
-97,-48,48,73,-73,0,78,39,-9,-214,-58,-19
-87,-43,43,65,-65,0,87,48,0,-209,-48,-9
-87,-39,48,63,-68,4,87,48,0,-204,-48,-9
-87,-34,53,61,-70,9,87,48,0,-200,-48,-9
-87,-29,58,58,-73,14,87,48,0,-195,-48,-9
-87,-29,58,58,-73,14,87,58,-9,-195,-58,-24
-87,-29,58,58,-73,14,87,58,-9,-195,-58,-29
-87,-29,58,58,-73,14,87,58,-9,-195,-58,-34
-87,-29,58,58,-73,14,87,58,-9,-195,-58,-39
-102,-43,58,73,-80,7,87,53,0,-195,-58,-29
-107,-48,58,78,-82,4,87,48,0,-195,-58,-29
-112,-53,58,82,-85,2,87,43,0,-195,-58,-29
-117,-58,58,87,-87,0,87,39,0,-195,-58,-29
-112,-48,63,80,-87,7,78,48,-9,-204,-68,-39
-107,-48,58,78,-82,4,78,48,-9,-204,-68,-39
-102,-48,53,75,-78,2,78,48,-9,-204,-68,-39
-97,-48,48,73,-73,0,78,48,-9,-204,-68,-39
-97,-39,58,68,-78,9,87,48,0,-190,-63,-34
-97,-39,58,68,-78,9,87,48,0,-185,-58,-29
-97,-39,58,68,-78,9,87,48,0,-180,-53,-24
