I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
9,97,87,-53,-39,92,97,78,107,87,68,87
9,107,97,-58,-43,102,82,73,107,92,73,87
14,122,107,-68,-46,114,58,63,107,97,78,97
29,136,107,-82,-39,122,19,43,102,97,87,107
39,151,112,-95,-36,131,-24,19,102,92,87,107
48,151,102,-100,-26,126,-58,4,97,87,87,107
58,151,92,-104,-17,122,-82,-14,92,78,82,107
68,146,78,-107,-4,112,-97,-29,78,73,78,107
82,136,53,-109,14,95,-107,-29,78,73,73,102
102,126,24,-114,39,75,-102,-24,87,73,73,102
117,126,9,-122,53,68,-97,-14,87,73,73,107
122,126,4,-124,58,65,-87,-14,102,78,82,112
122,122,0,-122,61,61,-82,-9,102,78,73,112
122,117,-4,-119,63,56,-68,-9,97,78,73,102
107,102,-4,-104,56,48,-58,-14,92,73,68,97
102,97,-4,-100,53,46,-53,-24,87,68,68,92
97,97,0,-97,48,48,-53,-24,82,68,68,92
87,82,-4,-85,46,39,-43,-24,78,63,63,87
78,78,0,-78,39,39,-34,-19,78,58,53,82
63,68,4,-65,29,36,-29,-19,63,48,48,73
43,68,24,-56,9,46,-19,-14,58,39,43,68
43,68,24,-56,9,46,-9,-14,63,39,43,63
29,53,24,-41,2,39,4,0,68,39,43,58
4,48,43,-26,-19,46,24,4,68,39,39,48
-4,34,39,-14,-21,36,29,4,58,34,24,43
-14,34,48,-9,-31,41,29,4,48,29,24,43
-14,34,48,-9,-31,41,29,0,48,29,24,43
-9,39,48,-14,-29,43,29,0,48,34,29,39
-4,39,43,-17,-24,41,29,0,53,39,29,39
-4,39,43,-17,-24,41,34,4,53,39,29,39
-9,39,48,-14,-29,43,39,4,53,39,29,39
-9,39,48,-14,-29,43,39,4,53,43,24,39
-9,39,48,-14,-29,43,39,4,53,48,19,39
-4,43,48,-19,-26,46,39,4,53,48,19,43
-4,43,48,-19,-26,46,39,9,53,53,24,48
-4,43,48,-19,-26,46,39,9,53,63,29,48
-9,43,53,-17,-31,48,43,9,58,73,34,48
-14,48,63,-17,-39,56,43,9,53,73,39,48
-14,58,73,-21,-43,65,43,19,68,92,53,68
-4,63,68,-29,-36,65,34,19,102,136,78,92
39,63,24,-51,7,43,4,-24,112,136,117,117
82,34,-48,-58,65,-7,-43,-170,-4,58,107,122
