I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-9,273,283,-131,-146,278,-229,-585,-444,92,141,131
-29,185,214,-78,-122,200,-175,-507,-473,-161,-68,29
-29,126,156,-48,-92,141,-141,-424,-429,-239,-141,-4
-19,87,107,-34,-63,97,-122,-336,-341,-190,-122,-9
-19,48,68,-14,-43,58,-97,-273,-263,-131,-92,-14
-19,39,58,-9,-39,48,-78,-234,-214,-97,-73,-9
-14,34,48,-9,-31,41,-68,-195,-180,-73,-58,-9
-9,39,48,-14,-29,43,-58,-165,-146,-48,-39,0
-4,48,53,-21,-29,51,-58,-136,-112,-19,-19,4
-4,43,48,-19,-26,46,-53,-112,-87,-4,-4,9
-4,43,48,-19,-26,46,-53,-112,-87,-14,-9,9
-4,39,43,-17,-24,41,-53,-117,-97,-24,-19,9
-9,34,43,-12,-26,39,-48,-117,-102,-39,-29,9
-9,29,39,-9,-24,34,-48,-117,-112,-48,-39,4
-14,19,34,-2,-24,26,-43,-107,-112,-53,-43,0
-9,19,29,-4,-19,24,-39,-97,-112,-63,-48,0
-4,9,14,-2,-9,12,-34,-92,-107,-68,-58,-14
-9,0,9,4,-9,4,-34,-82,-97,-73,-68,-19
-14,0,14,7,-14,7,-34,-82,-102,-82,-73,-24
-19,0,19,9,-19,9,-29,-87,-102,-87,-78,-24
-19,-4,14,12,-17,4,-29,-87,-102,-92,-78,-19
-19,0,19,9,-19,9,-34,-87,-107,-92,-78,-19
-19,0,19,9,-19,9,-29,-82,-112,-87,-78,-24
-19,0,19,9,-19,9,-24,-82,-112,-92,-78,-24
-14,0,14,7,-14,7,-24,-73,-107,-92,-82,-29
-14,-9,4,12,-9,-2,-19,-73,-97,-97,-87,-34
-14,-9,4,12,-9,-2,-24,-73,-97,-102,-92,-39
-14,-14,0,14,-7,-7,-19,-73,-97,-102,-87,-34
-19,-19,0,19,-9,-9,-19,-73,-97,-102,-82,-34
-19,-9,9,14,-14,0,-24,-78,-102,-102,-87,-29
-14,-9,4,12,-9,-2,-24,-78,-102,-102,-82,-29
-19,-9,9,14,-14,0,-19,-73,-107,-107,-82,-29
-19,-9,9,14,-14,0,-24,-78,-107,-107,-82,-29
-19,-9,9,14,-14,0,-19,-78,-107,-117,-87,-39
-19,-9,9,14,-14,0,-19,-78,-102,-117,-87,-43
-19,-14,4,17,-12,-4,-14,-78,-92,-112,-87,-39
-19,-14,4,17,-12,-4,-14,-78,-92,-112,-87,-39
-14,-4,9,9,-12,2,-24,-82,-102,-107,-82,-29
-14,-4,9,9,-12,2,-24,-78,-107,-102,-82,-24
-19,0,19,9,-19,9,-19,-78,-107,-102,-82,-29
-14,-4,9,9,-12,2,-19,-73,-112,-102,-82,-24
-14,-4,9,9,-12,2,-19,-73,-107,-107,-87,-29
-14,-4,9,9,-12,2,-19,-78,-102,-107,-92,-29
-14,-4,9,9,-12,2,-24,-78,-102,-112,-87,-29
-14,-4,9,9,-12,2,-24,-78,-102,-107,-82,-29
-14,0,14,7,-14,7,-24,-82,-102,-102,-82,-24
-14,0,14,7,-14,7,-29,-87,-112,-97,-78,-14
-9,4,14,2,-12,9,-29,-82,-112,-97,-78,-14
-14,4,19,4,-17,12,-29,-78,-117,-102,-78,-14
-14,4,19,4,-17,12,-29,-73,-117,-102,-78,-14
-14,4,19,4,-17,12,-24,-78,-107,-107,-82,-19
-14,4,19,4,-17,12,-24,-78,-107,-107,-78,-19
-9,0,9,4,-9,4,-24,-82,-107,-107,-78,-19
-14,0,14,7,-14,7,-29,-82,-107,-107,-73,-14
-14,4,19,4,-17,12,-29,-82,-107,-102,-68,-9
-9,9,19,0,-14,14,-34,-87,-117,-102,-68,-9
-4,9,14,-2,-9,12,-34,-82,-117,-102,-68,-9
-9,14,24,-2,-17,19,-34,-82,-122,-102,-73,-9
-9,9,19,0,-14,14,-34,-78,-112,-107,-73,-14
-4,9,14,-2,-9,12,-34,-78,-112,-107,-78,-14
-4,14,19,-4,-12,17,-39,-82,-107,-102,-73,-9
-9,14,24,-2,-17,19,-39,-87,-107,-102,-68,-4
