I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
19,0,-19,-9,19,-9,-19,97,87,-29,0,-19
19,0,-19,-9,19,-9,-19,97,87,-29,0,-19
19,0,-19,-9,19,-9,-19,97,87,-29,0,-19
19,0,-19,-9,19,-9,-19,97,87,-29,0,-19
14,-9,-24,-2,19,-17,-19,97,97,-39,0,-9
9,-9,-19,0,14,-14,-19,97,97,-39,0,-9
4,-9,-14,2,9,-12,-19,97,97,-39,0,-9
0,-9,-9,4,4,-9,-19,97,97,-39,0,-9
4,-4,-9,0,7,-7,-19,107,97,-29,0,4
9,0,-9,-4,9,-4,-19,107,97,-29,0,9
14,4,-9,-9,12,-2,-19,107,97,-29,0,14
19,9,-9,-14,14,0,-19,107,97,-29,0,19
19,9,-9,-14,14,0,-9,107,107,-39,-4,14
19,9,-9,-14,14,0,-9,107,107,-39,-9,9
19,9,-9,-14,14,0,-9,107,107,-39,-14,4
19,9,-9,-14,14,0,-9,107,107,-39,-19,0
14,0,-14,-7,14,-7,-19,97,97,-48,-9,-9
9,0,-9,-4,9,-4,-19,97,97,-48,-9,-9
4,0,-4,-2,4,-2,-19,97,97,-48,-9,-9
0,0,0,0,0,0,-19,97,97,-48,-9,-9
4,9,4,-7,0,7,-29,87,92,-53,-19,-9
9,9,0,-9,4,4,-29,87,87,-58,-19,-9
14,9,-4,-12,9,2,-29,87,82,-63,-19,-9
19,9,-9,-14,14,0,-29,87,78,-68,-19,-9
9,0,-9,-4,9,-4,-29,87,68,-73,-34,0
9,0,-9,-4,9,-4,-29,87,68,-78,-39,0
9,0,-9,-4,9,-4,-29,87,68,-82,-43,0
9,0,-9,-4,9,-4,-29,87,68,-87,-48,0
9,9,0,-9,4,4,-29,87,63,-97,-43,0
9,9,0,-9,4,4,-29,87,58,-97,-39,0
9,9,0,-9,4,4,-29,87,53,-97,-34,0
9,9,0,-9,4,4,-29,87,48,-97,-29,0
29,14,-14,-21,21,0,-29,78,43,-102,-29,0
39,19,-19,-29,29,0,-29,78,39,-107,-29,0
48,24,-24,-36,36,0,-29,78,34,-112,-29,0
58,29,-29,-43,43,0,-29,78,29,-117,-29,0
43,9,-34,-26,39,-12,-39,73,19,-131,-34,-9
29,0,-29,-14,29,-14,-39,68,9,-136,-39,-9
14,-9,-24,-2,19,-17,-39,63,0,-141,-43,-9
0,-19,-19,9,9,-19,-39,58,-9,-146,-48,-9
-9,-29,-19,19,4,-24,-48,53,-24,-156,-48,-9
-9,-29,-19,19,4,-24,-48,48,-29,-156,-48,-9
-9,-29,-19,19,4,-24,-48,43,-34,-156,-48,-9
